Name;MP;Area;County;Electorate;CON;LAB;LIB;Reform;Green;NAT;MIN;OTH
Kingston and Surbiton;Ed Davey;11;Kingston upon Thames;77340;8635;6561;25870;4787;3009;0;395;1407
Kingswinford and South Staffordshire;Mike Wood;7;Staffordshire;71662;18199;11896;2080;9928;2077;0;0;1000
Knowsley;Anneliese Midgley;4;Merseyside;72087;1496;24243;1232;5924;2772;0;245;135
Lancashire West;Ashley Dalton;4;Lancashire;74083;8680;22305;2043;7909;3263;0;0;0
Lancaster and Wyre;Cat Smith;4;Lancashire;74760;10062;19315;1529;6866;5236;0;0;0
Leeds Central and Headingley;Alex Sobel;5;West Yorkshire;70554;2237;15853;2611;2399;7431;0;691;373
Leeds East;Richard Burgon;5;West Yorkshire;76207;6898;18610;1445;7345;3506;0;0;1584
Leeds North East;Fabian Hamilton;5;West Yorkshire;70178;7177;23260;2168;3426;5911;0;2067;1158
Leeds North West;Katie White;5;West Yorkshire;71592;10986;22882;5641;5935;3231;0;0;1102
Leeds South;Hilary Benn;5;West Yorkshire;75953;4172;17117;1340;0;5838;0;719;2492
Leeds South West and Morley;Mark Sewards;5;West Yorkshire;71854;9258;17681;1798;8187;2522;0;0;763
Leeds West and Pudsey;Rachel Reeves;5;West Yorkshire;70069;6584;18976;1743;6281;3794;0;633;483
Leicester East;Shivani Raja;8;Leicestershire;76560;14526;10100;6329;2611;2143;0;5532;5473
Leicester South;Shockat Adam;8;Leicestershire;70867;4820;13760;1425;2470;3826;0;14739;797
Leicester West;Liz Kendall;8;Leicestershire;74102;7021;15798;2179;5666;4089;0;0;644
Leicestershire Mid;Peter Bedford;8;Leicestershire;75933;17735;15534;2444;8923;3414;0;0;0
Leicestershire North West;Amanda Hack;8;Leicestershire;77757;15859;16871;1629;9678;2831;0;0;1704
Leicestershire South;Alberto Costa;8;Leicestershire;78543;18264;12758;7621;10235;2481;0;0;0
Leigh and Atherton;Jo Platt;4;Western Manchester;79761;6483;19971;1597;11090;1653;0;0;376
Lewes;James MacCleary;12;East Sussex;76166;14271;3574;26895;6335;1869;0;0;229
Lewisham East;Janet Daby;11;Lewisham;73376;4401;23646;2471;3469;5573;0;577;500
Lewisham North;Vicky Foxcroft;11;Lewisham;74204;2701;25467;3284;2000;9685;0;457;573
Lewisham West and East Dulwich;Ellie Reeves;11;Lewisham;70099;3477;27406;3558;2234;9009;0;427;303
Leyton and Wanstead;Calvin Bailey;11;Waltham Forest;73366;4846;20755;2815;2475;6791;0;1633;4417
Lichfield;Dave Robertson;7;Staffordshire;76118;16422;17232;3572;9734;1724;0;0;420
Lincoln;Hamish Falconer;8;Lincolnshire;72313;9677;18470;2580;7602;2751;0;479;601
Liverpool Garston;Maria Eagle;4;Merseyside;69282;2943;24510;3239;4406;2816;0;0;4079
Liverpool Riverside;Kim Johnson;4;Merseyside;71380;1155;20039;1544;3272;5246;0;0;1125
Liverpool Walton;Dan Carden;4;Merseyside;69317;1282;26032;945;5787;2388;0;0;452
Liverpool Wavertree;Paula Barker;4;Merseyside;70581;1887;23077;2759;3454;6773;0;0;1865
Liverpool West Derby;Ian Byrne;4;Merseyside;69934;1566;25302;1276;4879;2647;0;0;2336
Loughborough;Jeevun Sandher;8;Leicestershire;68996;12289;17249;2561;7204;2956;0;0;0
Louth and Horncastle;Victoria Atkins;8;Lincolnshire;76882;17441;10475;2364;11935;2504;0;0;1760
Lowestoft;Jessica Asato;9;Suffolk;74332;12448;14464;1489;10328;3095;0;0;0
Luton North;Sarah Owen;9;Bedfordshire;74866;7167;14677;1890;4666;1940;0;4393;4012
Luton South and South Bedfordshire;Rachel Hopkins;9;Bedfordshire;76970;6735;13593;2400;4759;2401;0;5384;3110
Macclesfield;Tim Roca;4;Cheshire;76416;15552;24672;2482;6592;2493;0;0;1001
Maidenhead;Joshua Peter Reynolds;12;Berkshire;75687;18932;5766;21895;0;1996;0;0;1740
Maidstone and Malling;Helen Grant;12;Kent;76449;14146;12472;6375;9316;3727;0;0;353
Makerfield;Josh Simons;4;Western Manchester;76845;4379;18202;2735;12803;1776;0;0;368
Maldon;John Whittingdale;9;Essex;78281;19374;9817;5882;12468;2300;0;0;0
Manchester Central;Lucy Powell;4;Central Manchester;85049;2823;20184;3051;4760;6387;0;1888;632
Manchester Rusholme;Afzal Khan;4;Central Manchester;72604;1678;15054;0;1313;6819;0;3660;509
Manchester Withington;Jeff Smith;4;Central Manchester;70549;2280;22066;5412;1961;8084;0;1774;154
Mansfield;Steve Yemm;8;Nottinghamshire;73817;12563;16048;799;9385;1326;0;0;966
Melksham and Devizes;Brian Mathew;10;Wiltshire;71999;17630;4587;20031;6726;2229;0;0;0
Melton and Syston;Edward Argar;8;Leicestershire;74316;17526;12130;2547;8945;3685;0;0;1153
Meriden and Solihull East;Saqib Bhatti;7;Coventry and Solihull;73659;16792;12208;3353;8753;2929;0;0;0
Middlesbrough and Thornaby East;Andy McDonald;3;Teesside;75123;6174;16238;1037;7046;1522;0;2007;383
Middlesbrough South and East Cleveland;Luke Myer;3;Teesside;70328;16254;16468;2032;0;1446;0;0;1835
Milton Keynes Central;Emily Darlington;12;Buckinghamshire;81078;12918;20209;4931;6245;3226;0;0;200
Milton Keynes North;Chris Curtis;12;Buckinghamshire;70709;13888;19318;3365;6164;3242;0;0;0
Mitcham and Morden;Siobhain McDonagh;11;Merton;77272;6324;25085;3622;4135;4635;0;1091;363
Morecambe and Lunesdale;Lizzi Collinge;4;Lancashire;76424;13788;19603;4769;7810;2089;0;0;0
New Forest East;Julian Lewis;12;Hampshire;70618;17412;8917;7198;7646;3118;0;0;939
New Forest West;Desmond Swayne;12;Hampshire;68644;16412;10812;8186;7577;2800;0;0;550
Newark;Robert Jenrick;8;Nottinghamshire;80028;20968;17396;3026;8280;2345;0;150;1294
Newbury;Lee Raymond James Dillon;12;Berkshire;71986;17268;3662;19645;5357;2714;0;0;284
Newcastle upon Tyne Central and West;Chi Onwurah;3;Newcastle area;76969;4228;18875;1946;7815;3228;0;0;5263
Newcastle upon Tyne East and Wallsend;Mary Glindon;3;Newcastle area;76421;3522;21200;2965;8383;5257;0;430;564
Newcastle upon Tyne North;Catherine McKinnell;3;Newcastle area;75146;6678;24440;5936;5933;5035;0;0;595
Newcastle-under-Lyme;Adam Jogee;7;Staffordshire;67839;10923;15992;1987;8865;1851;0;0;0
Newton Abbot;Martin Wrigley;10;Devon;73885;12955;7115;15201;8494;2083;0;0;2144
Newton Aycliffe and Spennymoor;Alan Strickland;3;Durham;72224;8195;18394;1491;9555;1701;0;246;264
Norfolk Mid;George Freeman;9;Norfolk;75238;16770;13716;3126;9427;2858;0;0;0
Norfolk North;Steffan Aquarone;9;Norfolk;71438;16903;2878;19488;6368;1406;0;0;0
Norfolk North West;James Wild;9;Norfolk;74415;16097;11143;6492;8697;2137;0;0;0
Norfolk South;Ben Goldsborough;9;Norfolk;74135;14527;17353;5746;7583;3987;0;0;383
Norfolk South West;Terry Jermy;9;Norfolk;74724;11217;11847;2618;9958;1838;0;6282;575
Normanton and Hemsworth;Jon Trickett;5;West Yorkshire;75645;4995;17275;1319;10613;2147;0;0;0
Northampton North;Lucy Rigby;8;Northamptonshire;75575;9195;18209;2251;7010;2558;0;1531;1059
Northampton South;Mike Reader;8;Northamptonshire;70393;12819;16890;3193;8210;2398;0;0;394
Northamptonshire South;Sarah Bool;8;Northamptonshire;78233;19191;15504;4989;8962;3040;0;246;1765
Northumberland North;David Smith;3;Northumberland;74132;12788;17855;5169;7688;1743;0;0;3600
Norwich North;Alice Macdonald;9;Norfolk;73721;9944;20794;2073;8229;4372;0;0;353
Norwich South;Clive Lewis;9;Norfolk;76381;5806;21484;3577;5227;8245;0;0;756
Nottingham East;Nadia Whittome;8;Nottinghamshire;69395;3925;19494;1741;3578;4332;0;2465;866
Nottingham North and Kimberley;Alex Norris;8;Nottinghamshire;73768;6787;16480;1336;7053;3351;0;0;0
Nottingham South;Lilian Greenwood;8;Nottinghamshire;64255;5285;15579;2059;4936;2923;0;1496;601
Nuneaton;Jodie Gosling;7;Warwickshire;71662;11737;15216;1340;9059;2894;0;967;0
Old Bexley and Sidcup;Louie French;11;Bexley;72290;17910;14362;1927;10384;2601;0;0;449
Oldham East and Saddleworth;Debbie Abrahams;4;Eastern Manchester;72760;6838;14091;3386;7734;1490;0;4647;1879
Oldham West, Chadderton and Royton;Jim McMahon;4;Eastern Manchester;73178;4066;13232;1271;6848;1857;0;8256;3043
Orpington;Gareth Bacon;11;Bromley;71203;17504;12386;4728;8896;2319;0;0;240
Ossett and Denby Dale;Jade Botterill;5;West Yorkshire;72312;12690;17232;1785;9224;2132;0;0;810
Oxford East;Anneliese Dodds;12;Oxfordshire;71845;4739;19541;3437;0;5076;0;2381;4167
Oxford West and Abingdon;Layla Moran;12;Oxfordshire;71318;8520;5981;23414;4164;3236;0;0;683
Peckham;Miatta Fahnbulleh;11;Southwark;72123;2276;22813;2724;1790;7585;0;0;1609
Pendle and Clitheroe;Jonathan James Hinder;4;Lancashire;78796;15227;16129;2039;8171;1421;0;336;3431
Penistone and Stocksbridge;Marie Tidball;5;South Yorkshire;70770;10430;19169;2866;9456;2044;0;0;0
Penrith and Solway;Markus Campbell-Savours;4;Cumbria;77935;14729;19986;4742;7624;1730;0;0;470
Peterborough;Andrew Pakes;9;Cambridgeshire;73378;13300;13418;1746;5379;2542;0;5051;436
Plymouth Moor View;Fred Thomas;10;Devon;74724;12061;17665;1766;9670;1694;0;0;0
Plymouth Sutton and Devonport;Luke Pollard;10;Devon;75313;6873;20795;2441;7467;3186;0;311;1022
Pontefract, Castleford and Knottingley;Yvette Cooper;5;West Yorkshire;74618;5406;17089;1213;10459;1651;0;0;139
Poole;Neil John Duncan-Jordan;10;Dorset;72509;14150;14168;5507;7429;2218;0;0;1023
Poplar and Limehouse;Apsana Begum;11;Tower Hamlets;84469;4738;18535;4189;3403;5975;0;4554;1657
Portsmouth North;Amanda Martin;12;Hampshire;70446;13715;14495;3031;8501;1851;0;0;0
Portsmouth South;Stephen Morgan;12;Hampshire;73711;5643;18857;4886;5702;3107;0;0;733
Preston;Mark Hendrick;4;Lancashire;77400;5212;14006;3195;5738;1751;0;8715;1376
Putney;Fleur Anderson;11;Wandsworth;72614;11625;24113;5943;3070;3721;0;491;332
Queen's Park and Maida Vale;Georgia Gould;11;City of Westminster;75558;5088;20126;3417;2106;5213;0;1792;601
Rawmarsh and Conisbrough;John Healey;5;South Yorkshire;69132;4496;16612;1137;9704;1687;0;268;0
Rayleigh and Wickford;Mark Francois;9;Essex;76576;17756;11823;4068;12135;2196;0;0;0
Reading Central;Matt Rodda;12;Berkshire;73600;8961;21598;3963;3904;6417;0;0;448
Reading West and Mid Berkshire;Olivia Bailey;12;Berkshire;68786;14912;16273;5103;6260;3169;0;0;834
Redcar;Anna Turley;3;Teesside;70241;12340;15663;1542;7216;1270;0;0;169
Redditch;Christopher James Bloore;7;Hereford and Worcestershire;71038;14021;14810;2165;8516;2098;0;765;0
Reigate;Rebecca Paul;12;Surrey;77101;18822;15635;6773;7240;4691;0;0;0
Ribble Valley;Maya Ellis;4;Lancashire;80484;17321;18177;5001;8524;1727;0;0;1273
Richmond and Northallerton;Rishi Sunak;5;North Yorkshire;73888;23059;10874;4322;7142;2058;0;90;981
Richmond Park;Sarah Olney;11;Richmond upon Thames;68103;11373;5048;28528;3258;3416;0;0;582
Rochdale;Paul Waugh;4;Eastern Manchester;71264;4273;13027;2816;6773;1212;0;11587;0
Rochester and Strood;Lauren Rae Edwards;12;Kent;74257;12473;15403;1894;9966;2427;0;245;190
Romford;Andrew Rosindell;11;Havering;72978;15339;13876;1895;9624;2220;0;898;195
Romsey and Southampton North;Caroline Nokes;12;Hampshire;71871;19893;4640;17702;5716;1893;0;0;183
Rossendale and Darwen;Andy MacNae;4;Lancashire;74440;12619;18247;1241;9695;2325;0;491;0
Rother Valley;Jake Richards;5;South Yorkshire;69460;15025;16023;1175;7679;1706;0;0;0
Rotherham;Sarah Champion;5;South Yorkshire;75929;0;16671;2824;11181;2632;0;1714;1910
Rugby;John Anthony Slinger;7;Warwickshire;74901;15105;19533;3252;8225;2556;0;0;333
Ruislip, Northwood and Pinner;David Simmonds;11;Hillingdon;71683;21366;13785;4343;4671;2926;0;0;0
Runcorn and Helsby;Mike Amesbury;4;Cheshire;71955;6756;22358;2149;7662;2715;0;0;595
Runnymede and Weybridge;Ben Spencer;12;Surrey;73610;18442;9963;10815;6419;1954;0;0;660
Rushcliffe;James William Naish;8;Nottinghamshire;79160;17865;25291;3133;6353;4367;0;0;735
Rutland and Stamford;Alicia Kearns;8;Leicestershire;71711;21248;10854;6252;7008;2806;0;0;409
Salford;Rebecca Long-Bailey;4;Central Manchester;83633;3583;21132;2752;6031;5188;0;791;227
Salisbury;John Glen;10;Wiltshire;71553;17110;13303;11825;5235;2115;0;0;585
Scarborough and Whitby;Alison Hume;5;North Yorkshire;74558;12350;17758;1899;9657;1719;0;0;838
Scunthorpe;Nicholas Dakin;5;Humber area;74263;11942;15484;942;8163;1218;0;0;1302
Sefton Central;Bill Esterson;4;Merseyside;74282;8490;26772;2630;5767;3294;0;0;496
Selby;Keir Mather;5;North Yorkshire;78055;12593;22788;1792;9565;2484;0;0;0
Sevenoaks;Laura Trott;12;Kent;73708;18328;6802;12888;9341;2033;0;0;507
Sheffield Brightside and Hillsborough;Gill Furniss;5;South Yorkshire;70453;4069;16301;1694;0;4701;0;2537;2310
Sheffield Central;Abtisam Mohamed;5;South Yorkshire;60777;2339;16569;2174;0;8283;0;656;1782
Sheffield Hallam;Olivia Blake;5;South Yorkshire;73033;6205;23875;15686;0;4491;0;281;1063
Sheffield Heeley;Louise Haigh;5;South Yorkshire;73359;5242;21230;3863;0;5926;0;594;1591
Sheffield South East;Clive Betts;5;South Yorkshire;74194;6252;18710;3421;0;3158;0;1453;2777
Sherwood Forest;Michelle Welsh;8;Nottinghamshire;78894;13398;18841;1838;11320;2216;0;0;1047
Shipley;Anna Dixon;5;West Yorkshire;74130;13135;21738;1341;7238;3605;0;269;977
Shrewsbury;Julia Buckley;7;Shropshire;76633;11577;22932;6722;7524;2387;0;0;418
Shropshire North;Helen Morgan;7;Shropshire;77594;10903;3423;26214;7687;1234;0;0;133
Shropshire South;Stuart Anderson;7;Shropshire;76723;17628;6939;16004;9171;1911;0;0;0
Sittingbourne and Sheppey;Kevin McKenna;12;Kent;79067;11564;11919;1321;10512;1692;0;0;3990
Skipton and Ripon;Julian Smith;5;North Yorkshire;79251;18833;17183;4194;8516;3446;0;0;1278
Sleaford and North Hykeham;Caroline Johnson;8;Lincolnshire;75807;17348;13002;2264;10484;2435;0;0;3032
Slough;Tan Dhesi;12;Berkshire;81512;7457;14666;2060;3352;1873;0;11019;2851
Smethwick;Gurinder Singh Josan;7;Black Country;72863;4546;16858;1018;5670;2741;0;2449;1833
Solihull West and Shirley;Neil Shastri-Hurst;7;Coventry and Solihull;71813;16284;11664;7916;7149;3270;0;594;0
Somerset North;Sadik Al-Hassan;10;Bristol area;74426;18499;19138;7121;5602;3273;0;133;0
Somerset North East and Hanham;Dan Norris;10;Bristol area;73887;15420;20739;3878;7424;3222;0;0;442
South Holland and The Deepings;John Hayes;8;Lincolnshire;78473;17462;9086;1945;10606;1800;0;0;5031
South Ribble;Paul Andrew Foster;4;Lancashire;73420;13339;19840;2972;8995;1574;0;0;0
South Shields;Emma Lewell-Buck;3;Newcastle area;68366;4128;15122;1402;8469;5433;0;0;2270
Southampton Itchen;Darren Paffey;12;Hampshire;68379;9677;15782;2684;6853;2793;0;0;264
Southampton Test;Satvir Kaur;12;Hampshire;65520;6612;15945;3252;5261;3594;0;775;366
Southend East and Rochford;Bayo Alaba;9;Essex;70217;11368;15395;2269;7214;2716;0;0;694
Southend West and Leigh;David Edmund Burton-Sampson;9;Essex;75154;14790;16739;3174;8273;3262;0;0;730
Southgate and Wood Green;Bambos Charalambous;11;Enfield;77542;8037;23337;3925;3147;5607;0;833;785
Southport;Patrick Brian Hurley;4;Merseyside;73641;11463;17252;5868;7395;2159;0;0;922
Spelthorne;Lincoln Jopp;12;Surrey;73782;14038;12448;8710;8284;2413;0;0;273
Spen Valley;Kim Leadbeater;5;West Yorkshire;72642;9859;16076;1425;9888;2284;0;0;1526
St Albans;Daisy Cooper;9;Hertfordshire;72739;9388;5189;29222;4336;3272;0;0;207
St Austell and Newquay;Noah Law;10;Cornwall;76140;13488;15958;4805;9212;2337;0;0;932
St Helens North;David Baines;4;Merseyside;75483;4507;21284;1799;9115;3495;0;0;274
St Helens South and Whiston;Marie Rimmer;4;Merseyside;71569;3057;18919;2199;6974;2642;0;0;4244
St Ives;Andrew George;10;Cornwall;69980;11247;2788;25033;6492;1797;0;0;749
St Neots and Mid Cambridgeshire;Ian Sollom;9;Cambridgeshire;78115;14896;6918;19517;5673;2663;0;0;3215
Stafford;Leigh Ingham;7;Staffordshire;70608;13936;18531;1676;8612;2856;0;0;398
Staffordshire Moorlands;Karen Bradley;7;Staffordshire;69892;15310;14135;1499;10065;2293;0;0;0
Stalybridge and Hyde;Jonathan Reynolds;4;Eastern Manchester;72265;6872;16320;1080;7781;2745;0;1227;1214
Stevenage;Kevin Bonavia;9;Hertfordshire;70086;11080;17698;3467;7667;2655;0;0;148
Stockport;Navendu Mishra;4;Eastern Manchester;76625;4967;21787;3724;6517;4865;0;1630;193
Stockton North;Chris McDonald;3;Teesside;70242;8028;17128;1133;9189;1923;0;0;0
Stockton West;Matt Vickers;3;Teesside;71868;20372;18233;1203;6833;1477;0;0;520
Stoke-on-Trent Central;Gareth Snell;7;Staffordshire;73693;6221;14950;999;8541;1703;0;0;2875
Stoke-on-Trent North;David Williams;7;Staffordshire;69790;9497;14579;911;8824;1236;0;0;1103
Stoke-on-Trent South;Allison Gardner;7;Staffordshire;68263;13594;14221;1577;8851;1207;0;0;1492
Stone, Great Wyrley and Penkridge;Gavin Williamson;7;Staffordshire;71561;19880;14414;2952;0;2236;0;0;3288
Stourbridge;Cat Eccles;7;Black Country;68311;12265;15338;1607;7869;1732;0;1067;0
Stratford and Bow;Uma Kumaran;11;Newham;80560;3114;19145;1926;2093;7511;0;3274;6372
Stratford-on-Avon;Manuela Perteghella;7;Warwickshire;75714;16328;3753;23450;7753;1197;0;0;478
Streatham and Croydon North;Steve Reed;11;Lambeth;82829;5328;23232;5031;1994;7629;0;910;429
Stretford and Urmston;Andrew Western;4;Central Manchester;75153;6492;22642;2216;5485;4398;0;4461;308
Stroud;Simon Joseph Opher;10;Gloucestershire;77912;14219;25607;2913;6329;5729;0;0;424
Suffolk Central and North Ipswich;Patrick Spencer;9;Suffolk;73046;15144;10854;5407;8806;5652;0;0;560
Suffolk Coastal;Jenny Riddell-Carpenter;9;Suffolk;74522;14602;15672;6947;7850;4380;0;0;0
Suffolk South;James Cartlidge;9;Suffolk;73385;16082;13035;6424;9252;4008;0;0;0
Suffolk West;Nick Timothy;9;Suffolk;77149;15814;12567;4284;9623;2910;0;0;963
Sunderland Central;Lewis Atkinson;3;Newcastle area;76145;5731;16852;3602;10779;2993;0;0;0
Surrey East;Claire Coutinho;12;Surrey;73307;17502;10052;8833;8380;2957;0;0;1472
Surrey Heath;Al Pinkerton;12;Surrey;71934;15747;3148;21387;6252;1162;0;0;92
Sussex Mid;Alison Bennett;12;West Sussex;75969;14474;9397;21136;5921;2048;0;0;352
Sussex Weald;Nus Ghani;12;East Sussex;72897;16758;8239;9916;8920;3762;0;0;1580
Sutton and Cheam;Luke Taylor;11;Sutton;72302;13775;8430;17576;5787;1721;0;0;317
Sutton Coldfield;Andrew Mitchell;7;Birmingham;74080;18502;15959;2587;8213;2419;0;653;0
Swindon North;Will Stone;10;Wiltshire;73238;13827;17930;2086;7557;2366;0;0;399
Swindon South;Heidi Alexander;10;Wiltshire;72596;12070;21676;1843;6194;2539;0;0;472
Tamworth;Sarah Edwards;7;Staffordshire;75059;13956;15338;1451;11004;1579;0;170;290
Tatton;Esther McVey;4;Cheshire;75978;19956;18820;4614;5948;2571;0;0;0
Taunton and Wellington;Gideon Amos;10;Somerset;78116;12392;3552;24331;8053;1832;0;0;134
Telford;Shaun Davies;7;Shropshire;73808;8728;18212;1560;10110;2120;0;0;0
Tewkesbury;Cameron Thomas;10;Gloucestershire;73458;14468;4298;20730;6000;2873;0;0;170
Thanet East;Polly Billington;12;Kent;74940;10083;17054;1365;8591;4590;0;0;1030
Thirsk and Malton;Kevin Hollinrake;5;North Yorkshire;78484;19544;11994;5379;8963;2986;0;0;931
Thornbury and Yate;Claire Young;10;Bristol area;78195;17801;5057;20815;7529;2165;0;0;0
Thurrock;Jennifer Craft;9;Essex;73405;8009;16050;1157;9576;1632;0;691;443
Tipton and Wednesbury;Antonia Bance;7;Black Country;74100;8370;11755;592;8019;1509;0;0;1605
Tiverton and Minehead;Rachel Gilmour;10;Somerset;71843;14819;4325;18326;7787;2234;0;0;0
Tonbridge;Tom Tugendhat;12;Kent;72799;20517;9351;4234;7548;7596;0;0;1082
Tooting;Rosena Allin-Khan;11;Wandsworth;76082;9722;29209;4438;2546;5672;0;807;549
Torbay;Steve Darling;10;Devon;76179;13588;3276;18937;8660;1420;0;234;0
Torridge and Tavistock;Geoffrey Cox;10;Devon;74727;16049;10765;12099;9152;2350;0;0;405
Tottenham;David Lammy;11;Haringey;75906;2320;23066;1928;1602;7632;0;659;2941
Truro and Falmouth;Jayne Kirkham;10;Cornwall;73082;12632;20783;6552;6163;3470;0;0;664
Tunbridge Wells;Mike Martin;12;Kent;78738;14974;6178;23661;6484;2344;0;0;609
Twickenham;Munira Wilson;11;Richmond upon Thames;74980;8728;6693;30185;4092;3590;0;347;0
Tynemouth;Alan Campbell;3;Newcastle area;73469;9036;24491;2709;7392;3592;0;0;1198
Uxbridge and South Ruislip;Danny Boy Beales;11;Hillingdon;74746;16012;16599;1752;6610;4354;0;0;587
Vauxhall and Camberwell Green;Florence Eshalomi;11;Lambeth;69658;2809;21528;4549;2033;6416;0;0;201
Wakefield and Rothwell;Simon Lightwood;5;West Yorkshire;75067;7322;17773;3249;8427;2389;0;705;791
Wallasey;Angela Eagle;4;Merseyside;74082;4987;24674;1843;6678;3905;0;462;197
Walsall and Bloxwich;Valerie Vaz;7;Black Country;75968;6679;12514;817;7293;2288;0;7600;0
Walthamstow;Stella Creasy;11;Waltham Forest;76338;2353;27172;1736;1836;9176;0;1535;2051
Warrington North;Charlotte Nichols;4;Cheshire;70601;6486;18730;2737;9540;1889;0;0;659
Warrington South;Sarah Edith Hall;4;Cheshire;78399;11861;23201;3829;7913;2313;0;0;555
Warwick and Leamington;Matt Western;7;Warwickshire;76294;11563;23975;3881;5154;4471;0;0;154
Warwickshire North and Bedworth;Rachel Margaret Taylor;7;Warwickshire;69752;12529;14727;1228;10701;1755;0;0;0
Washington and Gateshead South;Sharon Hodgson;3;Newcastle area;70972;4654;17682;1602;10769;1687;0;0;627
Watford;Matt Turmaine;9;Hertfordshire;73000;10985;15708;7577;4930;2428;0;2659;168
Waveney Valley;Adrian Ramsay;9;Suffolk;73056;14873;4621;1214;7779;20467;0;0;118
Weald of Kent;Katie Jane Lotte Lam;12;Kent;75988;20202;11780;3975;10208;4547;0;0;0
Wellingborough and Rushden;Gen Kitchen;8;Northamptonshire;77559;12248;17734;1570;9456;2704;0;0;273
Wells and Mendip Hills;Tessa Munt;10;Somerset;72051;12501;3527;23622;6611;2068;0;0;2039
Welwyn Hatfield;Andrew Lewin;9;Hertfordshire;75259;16078;19877;3117;6397;2986;0;0;0
West Bromwich;Sarah Coombes;7;Black Country;74026;7318;16872;1314;7101;2036;0;0;1840
West Ham and Beckton;James Edward Asser;11;Newham;78790;3781;16434;1606;2800;3897;0;7180;650
Westmorland and Lonsdale;Tim Farron;4;Cumbria;72029;9589;2306;31061;4842;1486;0;0;249
Weston-super-Mare;Dan Aldridge;10;Bristol area;71396;11901;16310;3756;7735;2688;0;0;0
Wetherby and Easingwold;Alec Shelbrooke;5;North Yorkshire;74334;20597;15751;3351;7288;4529;0;0;743
Whitehaven and Workington;Josh MacAlister;4;Cumbria;73198;8455;22173;1118;8887;1207;0;0;0
Widnes and Halewood;Derek Twigg;4;Cheshire;71233;3507;23484;1593;7059;2058;0;415;0
Wigan;Lisa Nandy;4;Western Manchester;77537;4310;19401;1692;9852;1629;0;0;4015
Wiltshire East;Danny Kruger;10;Wiltshire;73878;16849;12133;8204;7885;1844;0;0;278
Wiltshire South West;Andrew Murrison;10;Wiltshire;72809;15617;12374;7205;7840;2243;0;0;889
Wimbledon;Paul Christopher Kohler;11;Merton;76352;12180;11733;24790;3221;2442;0;341;278
Winchester;Danny Chambers;12;Hampshire;78289;16118;3023;29939;4797;2740;0;0;459
Windsor;Jack Rankin;12;Berkshire;73334;16483;10026;9539;4660;2288;0;621;1629
Wirral West;Matthew Patrick;4;Merseyside;72838;13158;23156;3055;6422;4160;0;0;0
Witham;Priti Patel;9;Essex;79072;18827;13682;3439;9870;3539;0;0;1246
Witney;Charlie Maynard;12;Oxfordshire;75448;16493;4773;20832;6307;1661;0;0;518
Woking;Will Forster;12;Surrey;72977;12773;4444;24019;4888;1853;0;0;168
Wokingham;Clive Jones;12;Berkshire;75082;17398;3631;25743;5274;1953;0;0;0
Wolverhampton North East;Sureena Brackenridge;7;Black Country;70715;8860;14282;1002;7721;1424;0;0;0
Wolverhampton South East;Pat McFadden;7;Black Country;77473;5654;16800;758;7612;1643;0;915;0
Wolverhampton West;Warinder Juss;7;Black Country;77851;11463;19331;1376;6078;2550;0;576;2283
Worcester;Tom Collins;7;Hereford and Worcestershire;74931;11506;18622;3986;6723;4789;0;0;410
Worcestershire West;Harriett Baldwin;7;Hereford and Worcestershire;79242;19783;8335;13236;7902;5068;0;0;363
Worsley and Eccles;Michael Wheeler;4;Central Manchester;78643;6791;20277;1851;9186;3283;0;466;689
Worthing East and Shoreham;Tom Rutland;12;West Sussex;74738;12601;22120;3180;7169;3246;0;0;762
Worthing West;Beccy Cooper;12;West Sussex;77038;16570;20519;2708;7562;3274;0;0;364
Wrekin, The;Mark Pritchard;7;Shropshire;78942;16320;15437;4757;9920;3028;0;0;558
Wycombe;Emma Reynolds;12;Buckinghamshire;73846;11444;16035;4236;4769;2193;0;3344;2616
Wyre Forest;Mark Garnier;7;Hereford and Worcestershire;77394;14489;13677;2809;9682;2443;0;0;2058
Wythenshawe and Sale East;Mike Kane;4;Central Manchester;77765;5392;20596;1985;5986;4133;0;714;326
Yeovil;Adam Dance;10;Somerset;79700;11497;3002;23765;7677;2403;0;0;608
York Central;Rachael Maskell;5;North Yorkshire;79557;5383;24537;3051;4721;5185;0;0;446
York Outer;Luke Charters;5;North Yorkshire;76228;13770;23161;5496;5912;2212;0;0;555
Aberafan Maesteg;Stephen Kinnock;6;West Glamorgan;72580;2903;17838;916;7484;1094;4719;0;801
Alyn and Deeside;Mark Tami;6;Clwyd;75790;7892;18395;2065;9601;1926;1938;0;1575
Bangor Aberconwy;Claire Hughes;6;Clwyd;69023;9036;14008;1524;6091;1361;9112;0;528
Blaenau Gwent and Rhymney;Nick Smith;6;Gwent;70153;3776;16027;1268;0;1719;3844;570;2718
Brecon, Radnor and Cwm Tawe;David Chadwick;6;Powys;73114;12264;9904;13736;6567;1188;2280;0;609
Bridgend;Chris Elmore;6;Mid Glamorgan;73152;6764;16516;1446;7921;1760;3629;0;3338
Caerfyrddin (Carmarthen);Ann Davies;6;Dyfed;74003;8825;10985;1461;6944;1371;15520;216;282
Caerphilly;Chris Evans;6;Gwent;72643;4385;14538;1788;7754;1650;8119;0;0
Cardiff East;Jo Stevens;6;South Glamorgan;72873;3913;15833;6736;4980;3916;3550;0;195
